"Rank","Country","Total_Earnings","Number_of_Players","Top_Game","Earnings_From_Top_Game","Percent_From_Top_Game","average_earning_per_player"
21,"Indonesia",19633240.92,2597,"Free Fire","$4,298,276.21","21.89%",7559.96954948017
22,"Viet Nam",18348220.97,2682,"Arena of Valor","$5,040,274.48","27.47%",6841.24570096943
23,"Netherlands",18092165.77,2157,"Fortnite","$3,497,884.35","19.33%",8387.65218822439
24,"Spain",15056955.27,2690,"Counter-Strike: Global Offensive","$1,410,344.76","9.37%",5597.38114126394
25,"Turkey",13507222.52,1676,"PLAYERUNKNOWN'S BATTLEGROUNDS Mobile","$3,721,651.81","27.55%",8059.20198090692
26,"Norway",13463173.23,1354,"Fortnite","$3,279,139.04","24.36%",9943.25940177253
27,"Saudi Arabia",13460873.17,1267,"Rocket League","$2,955,239.03","21.95%",10624.2092896606
28,"Argentina",10181574.86,1455,"Fortnite","$2,453,512.03","24.10%",6997.64595189003
29,"Bulgaria",10021490.42,424,"Dota 2","$5,760,568.12","57.48%",23635.5906132075
30,"Mexico",9915046.84,1469,"Fortnite","$1,767,047.13","17.82%",6749.52133424098
31,"Jordan",9374435.25,152,"Dota 2","$8,321,224.98","88.77%",61673.916118421
32,"Peru",9337302.5,705,"Dota 2","$7,861,846.28","84.20%",13244.4007092199
33,"Israel",9240598.32,287,"Dota 2","$6,212,399.99","67.23%",32197.2066898955
34,"Italy",8011830.29,1645,"StarCraft II","$844,818.92","10.54%",4870.41355015198
35,"Singapore",7645246.55,1198,"Dota 2","$2,746,185.08","35.92%",6381.67491652755
36,"India",7601859.17,1589,"PLAYERUNKNOWN'S BATTLEGROUNDS Mobile","$3,843,448.97","50.56%",4784.05234109503
37,"Estonia",7229100.21,343,"Dota 2","$4,342,060.35","60.06%",21076.0939067055
38,"Pakistan",6918429.74,432,"Dota 2","$4,737,548.59","68.48%",16014.8836574074
39,"Czech Republic",6390154.66,1254,"Counter-Strike: Global Offensive","$1,269,566.09","19.87%",5095.81711323764
40,"Kazakhstan",6156563.5,736,"Counter-Strike: Global Offensive","$3,301,917.92","53.63%",8364.89605978261
41,"Romania",6105220.96,647,"Dota 2","$2,808,712.09","46.01%",9436.19931993818
42,"Austria",6058523.02,730,"Fortnite","$3,659,753.40","60.41%",8299.34660273973
43,"Slovakia",5906636.49,384,"Dota 2","$2,723,320.35","46.11%",15381.865859375
44,"Lebanon",5595294.82,119,"Dota 2","$4,867,671.09","87.00%",47019.2842016807
45,"Belgium",5528672.82,935,"Counter-Strike: Global Offensive","$982,494.32","17.77%",5913.01905882353
46,"Portugal",5528315.52,1176,"Counter-Strike: Global Offensive","$981,914.68","17.76%",4700.94857142857
47,"Mongolia",5280627.62,299,"PLAYERUNKNOWN'S BATTLEGROUNDS Mobile","$2,833,996.17","53.67%",17660.9619397993
48,"Hong Kong",5184589.96,675,"Fortnite","$1,245,534.74","24.02%",7680.87401481481
49,"Belarus",4758866.35,398,"Dota 2","$2,100,790.80","44.14%",11956.9506281407
50,"Serbia",4218828.5,424,"Fortnite","$1,971,527.99","46.73%",9950.06721698113
51,"North Macedonia",3999808.42,90,"Dota 2","$3,327,707.69","83.20%",44442.3157777778
52,"Bosnia and Herzegovina",3483814.24,85,"Counter-Strike: Global Offensive","$2,080,849.26","59.73%",40986.0498823529
53,"Chile",3459887.91,871,"VALORANT","$905,418.32","26.17%",3972.31677382319
54,"Switzerland",3356146,703,"Fortnite","$1,965,461.89","58.56%",4774.03413940256
55,"Slovenia",3280853.73,183,"Fortnite","$2,053,663.59","62.60%",17928.1624590164
56,"Latvia",3185106.13,356,"Counter-Strike: Global Offensive","$1,414,586.90","44.41%",8946.92733146067
57,"Egypt",2710273.29,324,"Clash Royale","$953,849.66","35.19%",8365.04101851852
58,"New Zealand",2599560.03,447,"Fortnite","$767,091.10","29.51%",5815.57053691275
59,"Greece",2569300.52,541,"Dota 2","$1,185,839.85","46.15%",4749.16916820702
60,"Hungary",2366173.9,755,"Counter-Strike: Global Offensive","$511,100.82","21.60%",3134.00516556291
61,"Lithuania",2314711.16,407,"Counter-Strike: Global Offensive","$707,904.22","30.58%",5687.25100737101
62,"Armenia",2252498.27,51,"Dota 2","$1,406,297.55","62.43%",44166.632745098
63,"South Africa",2208496.31,830,"Counter-Strike: Global Offensive","$1,020,902.50","46.23%",2660.83892771084
64,"Croatia",2109515.97,296,"League of Legends","$723,534.89","34.30%",7126.74314189189
65,"Macao",1819458.11,37,"Dota 2","$1,336,593.81","73.46%",49174.5435135135
66,"Nepal",1685473.25,171,"PLAYERUNKNOWN'S BATTLEGROUNDS Mobile","$1,626,521.14","96.50%",9856.56871345029
67,"Morocco",1675651.21,206,"Rocket League","$634,104.55","37.84%",8134.22917475728
68,"Iraq",1508485.28,153,"PLAYERUNKNOWN'S BATTLEGROUNDS Mobile","$1,200,851.54","79.61%",9859.38091503268
69,"Kyrgyzstan",1481017.4,102,"Dota 2","$1,232,377.61","83.21%",14519.7784313725
70,"Moldova",1415506.4,62,"Dota 2","$1,021,106.81","72.14%",22830.7483870968
71,"Ireland",1411640.67,345,"Fortnite","$258,910.98","18.34%",4091.71208695652
72,"Colombia",1385389.56,403,"Free Fire","$204,874.07","14.79%",3437.69121588089
73,"Myanmar",1359988.38,267,"Mobile Legends: Bang Bang","$565,090.60","41.55%",5093.58943820225
74,"Dominican Republic",1219428.01,131,"Street Fighter V","$268,835.20","22.05%",9308.61076335878
75,"Uzbekistan",1210323.78,145,"Dota 2","$487,051.16","40.24%",8347.06055172414
76,"Puerto Rico",1096244.74,148,"NBA 2K20","$250,000.00","22.81%",7407.05905405405
77,"Bolivia",1004492.46,71,"Dota 2","$913,055.28","90.90%",14147.7811267606
78,"Uruguay",996032.22,157,"Counter-Strike: Global Offensive","$147,793.06","14.84%",6344.15426751592
79,"United Arab Emirates",984673.8,249,"Street Fighter 6","$278,488.00","28.28%",3954.51325301205
80,"Iran, Islamic Republic of",860120.96,163,"Chess.com","$362,026.81","42.09%",5276.81570552147
81,"Cambodia",784460.46,240,"Mobile Legends: Bang Bang","$422,772.65","53.89%",3268.58525
82,"Algeria",783165.73,119,"PLAYERUNKNOWN'S BATTLEGROUNDS Mobile","$234,443.68","29.94%",6581.22462184874
83,"Kuwait",739041.74,189,"Rainbow Six Siege","$186,065.93","25.18%",3910.27375661376
84,"Azerbaijan",673758.17,112,"chess24","$295,261.50","43.82%",6015.69794642857
85,"Georgia",661122.54,119,"PLAYERUNKNOWN’S BATTLEGROUNDS","$344,693.10","52.14%",5555.65159663866
86,"Cuba",632114.52,50,"Fortnite","$240,916.67","38.11%",12642.2904
87,"Syrian Arab Republic",568862.51,62,"PLAYERUNKNOWN'S BATTLEGROUNDS Mobile","$300,824.11","52.88%",9175.20177419355
88,"Bahrain",508424.68,48,"Fortnite","$329,040.00","64.72%",10592.1808333333
89,"Kosovo",489269.96,66,"Counter-Strike: Global Offensive","$377,651.80","77.19%",7413.18121212121
90,"Montenegro",479746.46,20,"Counter-Strike: Global Offensive","$386,656.12","80.60%",23987.323
91,"Guatemala",471517.77,56,"Counter-Strike 2","$216,966.67","46.01%",8419.96017857143
92,"Venezuela",460832.05,188,"League of Legends","$60,648.11","13.16%",2451.23430851064
93,"Tunisia",409556.06,112,"League of Legends","$165,174.37","40.33%",3656.75053571429
94,"Laos",327375.72,109,"Dota 2","$264,299.31","80.73%",3003.44697247706
95,"Ecuador",313603.05,80,"Free Fire","$153,083.34","48.81%",3920.038125
96,"Tonga",293090.17,1,"Call of Duty: Warzone","$293,090.17","100.00%",293090.17
97,"Iceland",275671.13,177,"Overwatch","$102,284.60","37.10%",1557.46401129944
98,"Bangladesh",253723.37,117,"PLAYERUNKNOWN'S BATTLEGROUNDS Mobile","$127,158.36","50.12%",2168.57581196581
99,"Nicaragua",187207.58,12,"Dota 2","$104,516.18","55.83%",15600.6316666667
100,"Palestine, State of",186443.27,30,"League of Legends","$93,631.92","50.22%",6214.77566666667
101,"Malta",184551.47,299,"FIFA 18","$38,778.70","21.01%",617.228996655518
102,"Costa Rica",182731.15,87,"League of Legends","$53,540.21","29.30%",2100.35804597701
103,"Senegal",177159.17,12,"FIFA 21","$63,958.34","36.10%",14763.2641666667
104,"Albania",134386.79,62,"PLAYERUNKNOWN’S BATTLEGROUNDS","$44,105.94","32.82%",2167.52887096774
105,"Luxembourg",130595.63,56,"Fortnite","$40,933.20","31.34%",2332.06482142857
106,"Panama",130037.61,62,"Fortnite","$68,390.00","52.59%",2097.38080645161
107,"Gibraltar",127449.51,1,"PLAYERUNKNOWN’S BATTLEGROUNDS","$126,324.51","99.12%",127449.51
108,"Qatar",113361.18,54,"Fortnite","$21,375.00","18.86%",2099.28111111111
109,"Brunei Darussalam",109475.63,215,"PLAYERUNKNOWN'S BATTLEGROUNDS Mobile","$59,118.95","54.00%",509.188976744186
110,"Honduras",101945.62,28,"PLAYERUNKNOWN'S BATTLEGROUNDS Mobile","$66,731.21","65.46%",3640.915
111,"Oman",92666.91,37,"Fortnite","$83,855.00","90.49%",2504.51108108108
112,"Afghanistan",79764.62,9,"Call of Duty: Black Ops 4","$73,870.60","92.61%",8862.73555555556
113,"Paraguay",68116.36,47,"PLAYERUNKNOWN'S BATTLEGROUNDS Mobile","$21,111.66","30.99%",1449.28425531915
114,"Yemen",64521.12,10,"Fortnite","$22,075.00","34.21%",6452.112
115,"Libyan Arab Jamahiriya",63520.3,14,"PLAYERUNKNOWN'S BATTLEGROUNDS Mobile","$54,833.39","86.32%",4537.16428571429
116,"Sri Lanka",33012.34,33,"Vainglory","$11,010.97","33.35%",1000.37393939394
117,"Nigeria",32086.71,7,"PLAYERUNKNOWN'S BATTLEGROUNDS Mobile","$17,086.71","53.25%",4583.81571428571
118,"Cameroon",28375.95,1,"Street Fighter 6","$6,650.30","23.44%",28375.95
119,"Jamaica",26074.54,18,"Call of Duty: Warzone","$13,516.67","51.84%",1448.58555555556
120,"Reunion",25042.73,20,"Rocket League","$25,042.73","100.00%",1252.1365
121,"Ethiopia",23669.95,1,"Overwatch","$23,669.95","100.00%",23669.95
122,"Mauritius",21523.33,29,"Call of Duty: Mobile","$7,333.33","34.07%",742.183793103448
123,"El Salvador",19682.19,17,"Fortnite","$5,091.67","25.87%",1157.77588235294
124,"Trinidad and Tobago",17419.26,8,"Fortnite","$3,775.00","21.67%",2177.4075
125,"French Polynesia",16773.21,3,"League of Legends","$15,027.58","89.59%",5591.07
126,"Greenland",15325,3,"Fortnite","$15,325.00","100.00%",5108.33333333333
127,"Monaco",12764.54,5,"Chess.com","$7,812.50","61.20%",2552.908
128,"Faroe Islands",9560.61,26,"Counter-Strike: Global Offensive","$9,296.06","97.23%",367.715769230769
129,"Guadeloupe",8888.64,1,"FIFA 18","$8,330.00","93.72%",8888.64
130,"Guyana",8366.67,2,"PLAYERUNKNOWN'S BATTLEGROUNDS Mobile","$7,666.67","91.63%",4183.335
131,"Côte D'Ivoire",7909.22,7,"Tekken 7","$7,200.00","91.03%",1129.88857142857
132,"Turkmenistan",6670.4,10,"Dota 2","$6,450.00","96.70%",667.04
133,"Fiji",6415.25,2,"Fortnite","$5,801.67","90.44%",3207.625
134,"Sudan",6355.84,3,"PLAYERUNKNOWN'S BATTLEGROUNDS Mobile","$6,355.84","100.00%",2118.61333333333
135,"Netherlands Antilles",5700,1,"Overwatch 2","$5,700.00","100.00%",5700
136,"Suriname",5583.33,2,"Pokemon Unite","$4,683.33","83.88%",2791.665
137,"Namibia",5171.59,7,"Counter-Strike: Global Offensive","$5,000.00","96.68%",738.798571428571
138,"Tanzania",4500,1,"Magic: The Gathering Arena","$4,500.00","100.00%",4500
139,"Zimbabwe",4360,2,"PLAYERUNKNOWN'S BATTLEGROUNDS Mobile","$4,260.00","97.71%",2180
140,"Isle of Man",4286,2,"iRacing.com","$2,786.00","65.00%",2143
141,"Jersey",4165.6,4,"Echo Arena","$3,453.33","82.90%",1041.4
142,"Åland Islands",3920.2,19,"Heroes of Newerth","$2,737.38","69.83%",206.326315789474
143,"New Caledonia",3762.97,5,"Shadowverse","$3,300.00","87.70%",752.594
144,"Guernsey",3670.11,1,"Rocket League","$3,670.11","100.00%",3670.11
145,"Tajikistan",3475,1,"PLAYERUNKNOWN'S BATTLEGROUNDS Mobile","$3,475.00","100.00%",3475
146,"Madagascar",3458,8,"Tekken 7","$2,400.00","69.40%",432.25
147,"Ghana",3349.89,6,"FIFA 19","$2,808.76","83.85%",558.315
148,"Mozambique",2345.69,5,"PLAYERUNKNOWN'S BATTLEGROUNDS Mobile","$1,920.00","81.85%",469.138
149,"Maldives",2171.54,7,"Rocket League","$2,050.00","94.40%",310.22
150,"Kenya",2004.94,3,"Overwatch","$1,482.62","73.95%",668.313333333333
151,"Haiti",1900,1,"Fortnite","$1,900.00","100.00%",1900
152,"American Samoa",1750,1,"Rainbow Six Siege","$1,750.00","100.00%",1750
153,"Cyprus",1732.79,10,"Apex Legends","$1,269.99","73.29%",173.279
154,"Zambia",1635.44,2,"Mortal Kombat 11","$1,224.20","74.85%",817.72
155,"Angola",1200,3,"PLAYERUNKNOWN'S BATTLEGROUNDS Mobile","$1,200.00","100.00%",400
155,"Togo",1200,1,"Tekken 7","$1,200.00","100.00%",1200
157,"Andorra",952.26,5,"Chess.com","$575.00","60.38%",190.452
158,"Mauritania",759,1,"Hearthstone","$759.00","100.00%",759
159,"Wallis And Futuna",600,1,"Diabotical","$600.00","100.00%",600
160,"Gabon",540.5,1,"Fortnite","$540.50","100.00%",540.5
161,"Aruba",518.74,5,"Apex Legends","$380.00","73.25%",103.748
162,"Tuvalu",500,1,"Fortnite","$500.00","100.00%",500
163,"Botswana",338.49,2,"VALORANT","$233.33","68.93%",169.245
164,"Bermuda",306,2,"Dota 2","$200.00","65.36%",153
165,"Northern Mariana Islands",300,1,"Quake III Arena","$300.00","100.00%",300
166,"Bahamas",263,1,"Yu-Gi-Oh! Duel Links","$263.00","100.00%",263
167,"Belize",250,1,"PLAYERUNKNOWN'S BATTLEGROUNDS Mobile","$250.00","100.00%",250
168,"Dominica",200,1,"Counter-Strike: Global Offensive","$200.00","100.00%",200
169,"Uganda",149.66,2,"Minecraft","$100.00","66.82%",74.83
170,"Niue",65.97,1,"BlazBlue: Chronophantasma Extend","$33.46","50.72%",65.97
171,"Liechtenstein",56.47,2,"Call of Duty: Advanced Warfare","$28.47","50.42%",28.235
172,"Saint Martin",50,1,"Counter-Strike: Global Offensive","$50.00","100.00%",50
173,"US Minor Outlying Islands",30,1,"Brawlhalla","$30.00","100.00%",30
174,"Papua New Guinea",25,1,"Diabotical","$25.00","100.00%",25
175,"Saint Kitts and Nevis",20,1,"Lichess","$20.00","100.00%",20
176,"Virgin Islands, U.S.",12,1,"iRacing.com","$12.00","100.00%",12
177,"Saint Barthélemy",7.63,1,"Tetr.io","$7.63","100.00%",7.63
